INSERT INTO `item_template` (`id`, `TYPE`, `gender`, `NAME`, `description`, `icon_id`, `part`, `is_up_to_up`, `power_require`, `gold`, `gem`, `head`, `body`, `leg`, `ruby`) VALUES
(408, 5, 3, 'Cải trang', 'Cải trang thành Chi Chi, hết hạn vào 1/5/2016 (tự xóa)', 3047, -1, 0, 0, 0, 0, 310, 307, 308, 0),
(409, 5, 3, 'Cải trang', 'Cải trang thành Bum ma, hết hạn vào 1/7/2016 (tự xóa)', 3045, -1, 0, 0, 0, 0, 309, 307, 308, 0),
(410, 5, 3, 'Cải trang', 'Cải trang thành Lý Tiểu Nương, hết hạn vào 1/9/2016 (tự xóa)', 3014, -1, 0, 0, 0, 0, 306, 307, 308, 0),
(411, 5, 3, 'Cải trang', 'Cải trang thành Póc, hết hạn vào 1/12/2016 (tự xóa)', 2467, -1, 0, 0, 0, 0, 240, 241, 242, 0),
(412, 5, 0, 'Avatar', 'Dùng để thay đổi khuôn mặt', 19, 64, 0, 0, 0, 0, 64, -1, -1, 0),
(413, 5, 0, 'Avatar', 'Dùng để thay đổi khuôn mặt', 266, 30, 0, 0, 0, 0, 30, -1, -1, 0),
(414, 5, 0, 'Avatar', 'Dùng để thay đổi khuôn mặt', 268, 31, 0, 0, 0, 0, 31, -1, -1, 0),
(415, 5, 1, 'Avatar', 'Dùng để thay đổi khuôn mặt', 121, 9, 0, 0, 0, 0, 9, -1, -1, 0),
(416, 5, 1, 'Avatar', 'Dùng để thay đổi khuôn mặt', 263, 29, 0, 0, 0, 0, 29, -1, -1, 0),
(417, 5, 1, 'Avatar', 'Dùng để thay đổi khuôn mặt', 271, 32, 0, 0, 0, 0, 32, -1, -1, 0),
(418, 5, 2, 'Avatar', 'Dùng để thay đổi khuôn mặt', 91, 6, 0, 0, 0, 0, 6, -1, -1, 0),
(419, 5, 2, 'Avatar', 'Dùng để thay đổi khuôn mặt', 259, 27, 0, 0, 0, 0, 27, -1, -1, 0),
(420, 5, 2, 'Avatar', 'Dùng để thay đổi khuôn mặt', 261, 28, 0, 0, 0, 0, 28, -1, -1, 0),
(421, 5, 3, 'Cải trang', 'Cải trang thành Sơn Tinh', 3099, -1, 0, 0, 0, 0, 314, 315, 316, 0),
(422, 5, 3, 'Cải trang', 'Cải trang thành Thủy Tinh', 3069, -1, 0, 0, 0, 0, 311, 312, 313, 0),
(423, 5, 3, 'Cải trang', 'Cải trang thành Bujin', 3390, -1, 0, 0, 0, 50, 341, 342, 343, 0),
(424, 5, 3, 'Cải trang', 'Cải trang thành Kogu', 3245, -1, 0, 0, 0, 50, 329, 330, 331, 0),
(425, 5, 3, 'Cải trang', 'Cải trang thành Zangya', 3276, -1, 0, 0, 0, 50, 332, 333, 334, 0),
(426, 5, 3, 'Cải trang', 'Cải trang thành Bido', 3310, -1, 0, 0, 0, 50, 335, 336, 337, 0),
(427, 5, 3, 'Cải trang', 'Cải trang thành Bojack', 3183, -1, 0, 0, 0, 50, 323, 324, 325, 0),
(428, 5, 3, 'Cải trang', 'Cải trang thành Super Bojack', 3215, -1, 0, 0, 0, 50, 326, 327, 328, 0),
(429, 5, 3, 'Cải trang', 'Cải trang thành Số 4', 1871, -1, 0, 0, 0, 50, 168, 169, 170, 0),
(430, 5, 3, 'Cải trang', 'Cải trang thành Số 3', 2123, -1, 0, 0, 0, 50, 174, 175, 176, 0),
(431, 5, 3, 'Cải trang', 'Cải trang thành Số 2', 2124, -1, 0, 0, 0, 50, 171, 172, 173, 0),
(432, 5, 3, 'Cải trang', 'Cải trang thành Số 1', 1964, -1, 0, 0, 0, 50, 177, 178, 179, 0),
(433, 5, 3, 'Cải trang', 'Cải trang thành Tiểu Đội Trưởng Ginyu', 1995, -1, 0, 0, 0, 50, 180, 181, 182, 0),
(434, 7, 3, 'Khiên năng lượng lv1', 'học kĩ năng khiên năng lượng', 3784, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(435, 7, 3, 'Khiên năng lượng lv2', 'nâng khiên năng lượng lên cấp 2', 3784, -1, 1, 150000000, 0, 200, -1, -1, -1, 0),
(436, 7, 3, 'Khiên năng lượng lv3', 'nâng khiên năng lượng lên cấp 3', 3784, -1, 1, 150000000, 0, 300, -1, -1, -1, 0),
(437, 7, 3, 'Khiên năng lượng lv4', 'nâng khiên năng lượng lên cấp 4', 3784, -1, 1, 150000000, 0, 400, -1, -1, -1, 0),
(438, 7, 3, 'Khiên năng lượng lv5', 'nâng khiên năng lượng lên cấp 5', 3784, -1, 1, 150000000, 0, 500, -1, -1, -1, 0),
(439, 7, 3, 'Khiên năng lượng lv6', 'nâng khiên năng lượng lên cấp 6', 3784, -1, 1, 150000000, 0, 600, -1, -1, -1, 0),
(440, 7, 3, 'Khiên năng lượng lv7', 'nâng khiên năng lượng lên cấp 7', 3784, -1, 1, 150000000, 0, 700, -1, -1, -1, 0),
(441, 30, 3, 'Sao pha lê', 'Ép vào đồ sao pha lê để tăng chỉ số', 3887, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(442, 30, 3, 'Sao pha lê', 'Ép vào đồ sao pha lê để tăng chỉ số', 3888, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(443, 30, 3, 'Sao pha lê', 'Ép vào đồ sao pha lê để tăng chỉ số', 3889, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(444, 30, 3, 'Sao pha lê', 'Ép vào đồ sao pha lê để tăng chỉ số', 3890, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(445, 30, 3, 'Sao pha lê', 'Ép vào đồ sao pha lê để tăng chỉ số', 3891, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(446, 30, 3, 'Sao pha lê', 'Ép vào đồ sao pha lê để tăng chỉ số', 3892, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(447, 30, 3, 'Sao pha lê', 'Ép vào đồ sao pha lê để tăng chỉ số', 3893, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(448, 5, 3, 'Cải trang', 'Cải trang thành Đracula', 3496, -1, 0, 1500000, 0, 2000, 353, 354, 355, 0),
(449, 5, 3, 'Cải trang', 'Cải trang thành Người Vô Hình', 3745, -1, 0, 1500000, 0, 2000, 377, 378, 379, 0),
(450, 5, 3, 'Cải trang', 'Cải trang thành Bông Băng', 3469, -1, 0, 1500000, 0, 2000, 350, 351, 352, 0),
(451, 5, 3, 'Cải trang', 'Cải trang thành Vua Quỷ Satan', 3407, -1, 0, 1500000, 0, 2000, 344, 345, 346, 0),
(452, 5, 3, 'Cải trang', 'Cải trang thành Thỏ Đầu Bạc', 3438, -1, 0, 1500000, 0, 2000, 347, 348, 349, 0),
(453, 27, 3, 'Chiến thuyền Tennis', 'Chiến thuyền phục hồi HP, KI', 3894, -1, 1, 0, 0, 500, -1, -1, -1, 0),
(454, 27, 3, 'Porata +1', 'Sử dụng để hợp thể với đệ tử', 3896, -1, 0, 1500000, 0, 1000, -1, -1, -1, 0),
(455, 5, 3, 'Cải trang', 'Cải trang thành Ở dơ, làm mất HP mọi người ở gần', 3995, -1, 0, 1500000, 0, 2000, 400, 401, 402, 0),
(456, 27, 3, 'Bình nước', 'Vật phẩm sự kiện', 4029, -1, 1, 1500000, 0, 0, -1, -1, -1, 0),
(457, 99, 3, 'Thỏi vàng', 'Vật phẩm sự kiện', 4028, -1, 1, 1, 500000000, 0, -1, -1, -1, 0),
(458, 5, 3, 'Cải trang', 'Cải trang thành Xinbatô, gây đánh hụt cho mọi người ở gần', 3558, -1, 0, 1500000, 0, 2000, 359, 360, 361, 0),
(459, 27, 3, 'Phiếu giảm giá', 'Vật phẩm sự kiện', 4030, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(460, 27, 3, 'Cục xương', 'Vật phẩm sự kiện', 4032, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(461, 5, 3, 'Cải trang', 'Cải trang thành Sói hẹc quyn, tăng tốc độ chạy, thưởng sức mạnh và tiềm năng khi đánh quái', 3933, -1, 0, 1500000, 0, 2000, 394, 395, 396, 0),
(462, 27, 3, 'Củ cà rốt', 'Đổi 99 củ cà rốt lấy cải trang hot tại quầy bánh trung thu', 4083, -1, 1, 1500000, 0, 0, -1, -1, -1, 0),
(463, 5, 3, 'Cải trang Thỏ đại ca', 'Cải trang thành Thỏ đại ca, biến cà rốt người chạm vào', 4044, 4118, 0, 1500000, 200000000, 0, 403, 404, 405, 0),
(464, 5, 3, 'Cải trang', 'Cải trang thành Thỏ Bunma, tăng sức đánh cho mình và mọi người ở gần', 4116, -1, 0, 1500000, 0, 0, 409, 410, 411, 0),
(465, 31, 3, 'Bánh Trung Thu 1 trứng', 'Vật phẩm sự kiện, tác dụng trong 60 phút', 4042, -1, 1, 1500000, 0, 0, -1, -1, -1, 0),
(466, 31, 3, 'Bánh Trung Thu 2 trứng', 'Vật phẩm sự kiện, tác dụng trong 90 phút', 4043, -1, 1, 1500000, 0, 0, -1, -1, -1, 0),
(467, 11, 3, 'Lồng đèn Ông Sao', 'VP DL', 4124, 32, 0, 1500000, 0, 0, -1, -1, -1, 0),
(468, 11, 3, 'Lồng đèn Cá chép', 'VP DL', 4122, 33, 0, 1500000, 0, 0, -1, -1, -1, 0),
(469, 11, 3, 'Lồng đèn Kéo Quân', 'VP DL', 4121, 34, 0, 1500000, 0, 0, -1, -1, -1, 0),
(470, 11, 3, 'Lồng đèn Ông trăng', 'VP DL', 4123, 35, 0, 1500000, 0, 0, -1, -1, -1, 0),
(471, 11, 3, 'Lồng đèn Hội An', 'VP DL', 4120, 36, 0, 1500000, 0, 0, -1, -1, -1, 0),
(472, 31, 3, 'Bánh Trung Thu Đặc Biệt', 'Vật phẩm sự kiện, tác dụng trong 120 phút', 4125, -1, 1, 1500000, 0, 0, -1, -1, -1, 0),
(473, 31, 3, 'Hộp bánh Trung Thu', 'Vật phẩm sự kiện, tác dụng trong 150 phút', 4126, -1, 1, 1500000, 0, 0, -1, -1, -1, 0),
(474, 7, 1, 'Sách Biến Sôcôla lv1', 'học kĩ năng Biến Sôcôla', 3780, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(475, 7, 1, 'Sách Biến Sôcôla lv2', 'nâng biến Sôcôla lên cấp 2', 3780, -1, 1, 150000000, 0, 120, -1, -1, -1, 0),
(476, 7, 1, 'Sách Biến Sôcôla lv3', 'nâng biến Sôcôla lên cấp 3', 3780, -1, 1, 150000000, 0, 140, -1, -1, -1, 0),
(477, 7, 1, 'Sách Biến Sôcôla lv4', 'nâng biến Sôcôla lên cấp 4', 3780, -1, 1, 150000000, 0, 160, -1, -1, -1, 0),
(478, 7, 1, 'Sách Biến Sôcôla lv5', 'nâng biến Sôcôla lên cấp 5', 3780, -1, 1, 150000000, 0, 180, -1, -1, -1, 0),
(479, 7, 1, 'Sách Biến Sôcôla lv6', 'nâng biến Sôcôla lên cấp 6', 3780, -1, 1, 150000000, 0, 200, -1, -1, -1, 0),
(480, 7, 1, 'Sách Biến Sôcôla lv7', 'nâng biến Sôcôla lên cấp 7', 3780, -1, 1, 150000000, 0, 220, -1, -1, -1, 0),
(481, 7, 1, 'Sách Liên hoàn lv1', 'học liên hoàn chiêu', 3778, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(482, 7, 1, 'Sách Liên hoàn lv2', 'nâng liên hoàn chiêu lên cấp 2', 3778, -1, 1, 150000000, 0, 120, -1, -1, -1, 0),
(483, 7, 1, 'Sách Liên hoàn lv3', 'nâng liên hoàn chiêu lên cấp 3', 3778, -1, 1, 150000000, 0, 140, -1, -1, -1, 0),
(484, 7, 1, 'Sách Liên hoàn lv4', 'nâng liên hoàn chiêu lên cấp 4', 3778, -1, 1, 150000000, 0, 160, -1, -1, -1, 0),
(485, 7, 1, 'Sách Liên hoàn lv5', 'nâng liên hoàn chiêu lên cấp 5', 3778, -1, 1, 150000000, 0, 180, -1, -1, -1, 0),
(486, 7, 1, 'Sách Liên hoàn lv6', 'nâng liên hoàn chiêu lên cấp 6', 3778, -1, 1, 150000000, 0, 200, -1, -1, -1, 0),
(487, 7, 1, 'Sách Liên hoàn lv7', 'nâng liên hoàn chiêu lên cấp 7', 3778, -1, 1, 150000000, 0, 220, -1, -1, -1, 0),
(488, 7, 0, 'Sách Dịch Chuyển lv1', 'học phép Dịch Chuyển', 3783, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(489, 7, 0, 'Sách Dịch Chuyển lv2', 'nâng phép Dịch Chuyển lên cấp 2', 3783, -1, 1, 150000000, 0, 120, -1, -1, -1, 0),
(490, 7, 0, 'Sách Dịch Chuyển lv3', 'nâng phép Dịch Chuyển lên cấp 3', 3783, -1, 1, 150000000, 0, 140, -1, -1, -1, 0);
INSERT INTO `item_template` (`id`, `TYPE`, `gender`, `NAME`, `description`, `icon_id`, `part`, `is_up_to_up`, `power_require`, `gold`, `gem`, `head`, `body`, `leg`, `ruby`) VALUES
(491, 7, 0, 'Sách Dịch Chuyển lv4', 'nâng phép Dịch Chuyển lên cấp 4', 3783, -1, 1, 150000000, 0, 160, -1, -1, -1, 0),
(492, 7, 0, 'Sách Dịch Chuyển lv5', 'nâng phép Dịch Chuyển lên cấp 5', 3783, -1, 1, 150000000, 0, 180, -1, -1, -1, 0),
(493, 7, 0, 'Sách Dịch Chuyển lv6', 'nâng phép Dịch Chuyển lên cấp 6', 3783, -1, 1, 150000000, 0, 200, -1, -1, -1, 0),
(494, 7, 0, 'Sách Dịch Chuyển lv7', 'nâng phép Dịch Chuyển lên cấp 7', 3783, -1, 1, 150000000, 0, 220, -1, -1, -1, 0),
(495, 7, 0, 'Sách Thôi Miên lv1', 'học phép Thôi Miên', 3782, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(496, 7, 0, 'Sách Thôi Miên lv2', 'nâng phép thôi miên lên cấp 2', 3782, -1, 1, 150000000, 0, 120, -1, -1, -1, 0),
(497, 7, 0, 'Sách Thôi Miên lv3', 'nâng phép thôi miên lên cấp 3', 3782, -1, 1, 150000000, 0, 140, -1, -1, -1, 0),
(498, 7, 0, 'Sách Thôi Miên lv4', 'nâng phép thôi miên lên cấp 4', 3782, -1, 1, 150000000, 0, 160, -1, -1, -1, 0),
(499, 7, 0, 'Sách Thôi Miên lv5', 'nâng phép thôi miên lên cấp 5', 3782, -1, 1, 150000000, 0, 180, -1, -1, -1, 0),
(500, 7, 0, 'Sách Thôi Miên lv6', 'nâng phép thôi miên lên cấp 6', 3782, -1, 1, 150000000, 0, 200, -1, -1, -1, 0),
(501, 7, 0, 'Sách Thôi Miên lv7', 'nâng phép thôi miên lên cấp 7', 3782, -1, 1, 150000000, 0, 220, -1, -1, -1, 0),
(502, 7, 2, 'Sách Trói lv1', 'học phép trói', 3779, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(503, 7, 2, 'Sách Trói lv2', 'nâng phép trói lên cấp 2', 3779, -1, 1, 150000000, 0, 120, -1, -1, -1, 0),
(504, 7, 2, 'Sách Trói lv3', 'nâng phép trói lên cấp 3', 3779, -1, 1, 150000000, 0, 140, -1, -1, -1, 0),
(505, 7, 2, 'Sách Trói lv4', 'nâng phép trói lên cấp 4', 3779, -1, 1, 150000000, 0, 160, -1, -1, -1, 0),
(506, 7, 2, 'Sách Trói lv5', 'nâng phép trói lên cấp 5', 3779, -1, 1, 150000000, 0, 180, -1, -1, -1, 0),
(507, 7, 2, 'Sách Trói lv6', 'nâng phép trói lên cấp 6', 3779, -1, 1, 150000000, 0, 200, -1, -1, -1, 0),
(508, 7, 2, 'Sách Trói lv7', 'nâng phép trói lên cấp 7', 3779, -1, 1, 150000000, 0, 220, -1, -1, -1, 0),
(509, 7, 2, 'Sách Huýt Sáo lv1', 'học phép Huýt Sáo', 3781, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(510, 7, 2, 'Sách Huýt Sáo lv2', 'nâng phép Huýt Sáo lên cấp 2', 3781, -1, 1, 150000000, 0, 120, -1, -1, -1, 0),
(511, 7, 2, 'Sách Huýt Sáo lv3', 'nâng phép Huýt Sáo lên cấp 3', 3781, -1, 1, 150000000, 0, 140, -1, -1, -1, 0),
(512, 7, 2, 'Sách Huýt Sáo lv4', 'nâng phép Huýt Sáo lên cấp 4', 3781, -1, 1, 150000000, 0, 160, -1, -1, -1, 0),
(513, 7, 2, 'Sách Huýt Sáo lv5', 'nâng phép Huýt Sáo lên cấp 5', 3781, -1, 1, 150000000, 0, 180, -1, -1, -1, 0),
(514, 7, 2, 'Sách Huýt Sáo lv6', 'nâng phép Huýt Sáo lên cấp 6', 3781, -1, 1, 150000000, 0, 200, -1, -1, -1, 0),
(515, 7, 2, 'Sách Huýt Sáo lv7', 'nâng phép Huýt Sáo lên cấp 7', 3781, -1, 1, 150000000, 0, 220, -1, -1, -1, 0),
(516, 27, 3, 'Sôcôla', '', 4133, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(517, 27, 3, 'Mở rộng hành trang', 'Thêm 1 ô trong hành trang', 4340, -1, 1, 150000000, 0, 100, -1, -1, -1, 0),
(518, 27, 3, 'Mở rộng rương đồ', 'Thêm 1 ô trong rương', 265, -1, 1, 150000000, 50000000, 0, -1, -1, -1, 0),
(519, 28, 3, 'Cờ Kaiô', '', 4386, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(520, 28, 3, 'Cờ Mabư', '', 4385, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(521, 27, 3, 'Tự động luyện tập', 'Tự động luyện tập, ăn đậu, thu hoạch đậu, và sử dụng các kĩ năng hiển thị trên ô phím tắt theo thứ tự từ kĩ năng có cooldown cao nhất đến thấp nhất', 4387, -1, 1, 0, 0, 2, -1, -1, -1, 0),
(522, 13, 3, 'Bùa Đệ Tử', 'Đệ tử bạn sẽ tự đánh quái không cần sư phụ, giảm 50% sát thương từ quái, tăng 100% sức mạnh khi đánh quái', 1403, -1, 1, 0, 0, 1500, -1, -1, -1, 0),
(523, 6, 3, 'Đậu thần cấp 9', 'Thức ăn phục hồi HP và KI', 241, -1, 1, 1, 0, 0, -1, -1, -1, 0),
(524, 5, 3, 'Cải trang', 'Cải trang thành Android 19', 2560, -1, 0, 15000000, 0, 1200, 249, 250, 251, 0),
(525, 5, 3, 'Cải trang', 'Cải trang thành Android 20', 2622, -1, 0, 15000000, 0, 1500, 255, 256, 257, 0),
(526, 5, 3, 'Cải trang', 'Cải trang thành Xên Bọ Hung 1', 2345, -1, 0, 15000000, 0, 1700, 228, 229, 230, 0),
(527, 5, 3, 'Cải trang', 'Cải trang thành Xên Bọ Hung 2', 2376, -1, 0, 15000000, 0, 1850, 231, 232, 233, 0),
(528, 5, 3, 'Cải trang', 'Cải trang thành Xên Bọ Hung 3', 2407, -1, 0, 15000000, 0, 2000, 234, 235, 236, 0),
(529, 32, 3, 'Giáp tập luyện cấp 1', 'Khi mặc vào sẽ đánh yếu hơn bình thường 10%, khi cởi ra sẽ tăng sức đánh 10%', 4429, -1, 0, 0, 0, 30, -1, -1, -1, 0),
(530, 32, 3, 'Giáp tập luyện cấp 2', 'Khi mặc vào sẽ đánh yếu hơn bình thường 20%, khi cởi ra sẽ tăng sức đánh 20%', 4430, -1, 0, 1500000, 0, 300, -1, -1, -1, 0),
(531, 32, 3, 'Giáp tập luyện cấp 3', 'Khi mặc vào sẽ đánh yếu hơn bình thường 30%, khi cởi ra sẽ tăng sức đánh 30%', 4431, -1, 0, 15000000, 0, 3000, -1, -1, -1, 0),
(532, 24, 3, 'Quỷ Chim', 'Dùng để bay phục hồi HP, KI', 4433, -1, 0, 15000000, 0, 1000, -1, -1, -1, 0),
(533, 27, 3, 'Kẹo giáng sinh', 'Vật phẩm giáng sinh, biến mất vào ngày 11/1', 4432, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(534, 32, 3, 'Giáp tập luyện cấp 1', 'Khi mặc vào sẽ đánh yếu hơn bình thường 10%, khi cởi ra sẽ tăng sức đánh 10%', 4429, -1, 0, 0, 10000000, 0, -1, -1, -1, 0),
(535, 32, 3, 'Giáp tập luyện cấp 2', 'Khi mặc vào sẽ đánh yếu hơn bình thường 20%, khi cởi ra sẽ tăng sức đánh 20%', 4430, -1, 0, 1500000, 100000000, 0, -1, -1, -1, 0),
(536, 32, 3, 'Giáp tập luyện cấp 3', 'Khi mặc vào sẽ đánh yếu hơn bình thường 30%, khi cởi ra sẽ tăng sức đánh 30%', 4431, -1, 0, 15000000, 1000000000, 0, -1, -1, -1, 0),
(537, 27, 3, 'Chữ giải', 'Vật phẩm sự kiện', 1403, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(538, 27, 3, 'Chữ khai', 'Vật phẩm sự kiện', 1404, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(539, 27, 3, 'Chữ phong', 'Vật phẩm sự kiện', 1407, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(540, 27, 3, 'Chữ ấn', 'Vật phẩm sự kiện', 1406, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(541, 27, 3, 'Quả Hồng Đào', 'Vật phẩm sự kiện', 4547, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(542, 27, 3, 'Quả Hồng Đào Chín', 'Vật phẩm sự kiện', 4547, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(543, 27, 3, 'Vòng Kim Cô', 'Vật phẩm sự kiện', 4546, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(544, 5, 0, 'Cải trang', 'Cải trang thành Tôn Ngộ Không', 4543, -1, 0, 0, 0, 0, 457, 458, 459, 0),
(545, 5, 1, 'Cải trang', 'Cải trang thành Tôn Ngộ Không', 4464, -1, 0, 0, 0, 0, 460, 458, 459, 0),
(546, 5, 2, 'Cải trang', 'Cải trang thành Tôn Ngộ Không', 4466, -1, 0, 0, 0, 0, 461, 458, 459, 0),
(547, 27, 3, 'Đệ Tử Ngộ Không', 'Đệ Tử Ngộ Không Tăng 30% SĐ', 4468, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(548, 27, 3, 'Đệ Tử Bát Giới', 'Đệ Tử Bát Giới Tăng 30% HP,KI', 4498, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(549, 5, 3, 'Cải trang', 'Cải trang thành Xên Bọ Hung con', 2715, -1, 0, 15000000, 0, 3000, 264, 265, 266, 0),
(550, 5, 3, 'Cải trang', 'Cải trang thành Android 13', 2592, -1, 0, 15000000, 0, 120, 252, 253, 254, 0),
(551, 5, 3, 'Cải trang', 'Cải trang thành Android 14', 2529, -1, 0, 15000000, 0, 110, 246, 247, 248, 0),
(552, 5, 3, 'Cải trang', 'Cải trang thành Android 15', 2684, -1, 0, 15000000, 0, 100, 261, 262, 263, 0),
(553, 27, 3, 'Pháo bông', 'Vật phẩm sự kiện năm mới, biến mất vào ngày 18/2', 4548, -1, 1, 1000, 0, 0, -1, -1, -1, 0),
(554, 27, 3, 'Siêu Pháo bông x100', 'Vật phẩm sự kiện năm mới, biến mất vào ngày 18/2', 4548, -1, 1, 1000000, 0, 0, -1, -1, -1, 0),
(555, 0, 0, 'Áo Thần Linh', 'Giúp giảm sát thương', 4647, 472, 0, 0, 0, 0, -1, -1, -1, 0),
(556, 1, 0, 'Quần Thần Linh', 'Giúp bạn tăng HP', 4648, 473, 0, 0, 0, 0, -1, -1, -1, 0),
(557, 0, 1, 'Áo Thần Namếc', 'Giúp giảm sát thương', 4657, 476, 0, 0, 0, 0, -1, -1, -1, 0),
(558, 1, 1, 'Quần Thần namếc', 'Giúp bạn tăng HP', 4658, 477, 0, 0, 0, 0, -1, -1, -1, 0),
(559, 0, 2, 'Áo Thần Xayda', 'Giúp giảm sát thương', 4652, 474, 0, 0, 0, 0, -1, -1, -1, 0),
(560, 1, 2, 'Quần Thần Xayda', 'Giúp bạn tăng HP', 4654, 475, 0, 15000000, 0, 0, -1, -1, -1, 0),
(561, 4, 3, 'Nhẫn Thần Linh', 'Giúp tăng Chí Mạng', 6314, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(562, 2, 0, 'Găng Thần Linh', 'Giúp bạn tăng sức đánh', 4650, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(563, 3, 0, 'Giầy Thần Linh', 'Giúp bạn tăng MP', 4649, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(564, 2, 1, 'Găng Thần Namếc', 'Giúp bạn tăng sức đánh', 4659, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(565, 3, 1, 'Giầy Thần Namếc', 'Giúp bạn tăng MP', 4660, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(566, 2, 2, 'Găng Thần Xayda', 'Giúp bạn tăng sức đánh', 4656, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(567, 3, 2, 'Giầy Thần Xayda', 'Giúp bạn tăng MP', 4655, -1, 0, 0, 0, 0, -1, -1, -1, 0),
(568, 17, 3, 'Quả Trứng', '', 2164, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(569, 27, 3, 'Dưa Hấu', 'Vật phẩm sự kiện', 4671, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(570, 27, 3, 'Rương Gỗ', 'Giấu bên trong nhiều vật phẩm quý giá', 265, -1, 1, 1000, 0, 0, -1, -1, -1, 0),
(571, 27, 3, 'Rương Bạc', 'Giấu bên trong nhiều vật phẩm quý giá', 5006, -1, 1, 15000, 0, 0, -1, -1, -1, 0),
(572, 27, 3, 'Rương Vàng', 'Giấu bên trong nhiều vật phẩm quý giá', 5007, -1, 1, 15000, 0, 0, -1, -1, -1, 0),
(573, 27, 3, 'Capsule Bạc', 'Giấu bên trong nhiều vật phẩm quý giá', 5005, -1, 1, 15000, 0, 0, -1, -1, -1, 0),
(574, 27, 3, 'Capsule Vàng', 'Giấu bên trong nhiều vật phẩm quý giá', 5004, -1, 1, 15000, 0, 0, -1, -1, -1, 0),
(575, 5, 3, 'Cải trang', 'Cải trang thành Bui Bui', 4354, -1, 0, 15000000, 0, 2000, 451, 452, 453, 0),
(576, 5, 3, 'Cải trang', 'Cải trang thành Yacôn', 4135, -1, 0, 15000000, 0, 2000, 415, 416, 417, 0),
(577, 5, 3, 'Cải trang', 'Cải trang thành Drabura', 4165, -1, 0, 15000000, 0, 2000, 418, 419, 420, 0),
(578, 5, 3, 'Cải trang', 'Cải trang thành Mabư mập', 2957, -1, 0, 15000000, 0, 2000, 297, 298, 299, 0),
(579, 29, 3, 'Đuôi khỉ', 'Vật phẩm sự kiện, biến mất vào ngày 5/10', 5072, -1, 1, 15000, 0, 0, -1, -1, -1, 0),
(580, 5, 3, 'Cải trang', 'Cải trang thành Chi Chi', 3047, -1, 0, 0, 0, 0, 310, 307, 308, 0),
(581, 5, 3, 'Cải trang', 'Cải trang thành Bum ma', 3045, -1, 0, 0, 0, 0, 309, 307, 308, 0),
(582, 5, 3, 'Cải trang', 'Cải trang thành Lý Tiểu Nương', 3014, -1, 0, 0, 0, 0, 306, 307, 308, 0),
(583, 5, 3, 'Cải trang Póc', 'Cải trang thành Android sát thủ', 2467, -1, 0, 0, 0, 1600, 240, 241, 242, 0),
(584, 5, 3, 'Cải trang', 'Cải trang thành Thỏ Bunma, tăng sức đánh cho mình và mọi người ở gần', 4116, -1, 0, 1500000, 0, 0, 409, 410, 411, 0),
(585, 27, 3, 'Bí ngô', 'Vật phẩm sự kiện, biến mất vào ngày 20/11', 5138, -1, 1, 0, 0, 0, -1, -1, -1, 0),
(586, 5, 3, 'Cải trang', 'Cải trang thành Bông Băng (Sự kiện Halloween)', 3469, -1, 0, 1500000, 0, 0, 350, 351, 352, 0),
(587, 5, 3, 'Cải trang', 'Cải trang thành Vua Quỷ Satan (Sự kiện Halloween)', 3407, -1, 0, 1500000, 0, 0, 344, 345, 346, 0),
